Date,Nifty50,reliance,infosys,hdfc,hdfcbank
2010-01-04,5232.2,1075.5,2612.6,2674.35,1705.7
2010-01-05,5277.9,1070.7,2621.35,2683.45,1707.2
2010-01-06,5281.8,1088.0,2583.1,2696.35,1708.35
2010-01-07,5263.1,1106.05,2525.05,2646.15,1712.8
2010-01-08,5244.75,1103.15,2464.2,2600.05,1715.05
2010-01-11,5249.4,1081.5,2489.65,2600.1,1708.15
2010-01-12,5210.4,1084.35,2586.95,2559.65,1695.2
2010-01-13,5233.95,1088.6,2683.5,2543.9,1689.3
2010-01-14,5259.9,1121.7,2689.75,2524.95,1683.8
2010-01-15,5252.2,1110.75,2675.8,2521.5,1694.15
2010-01-18,5274.85,1099.5,2686.65,2557.45,1766.65
2010-01-19,5225.65,1085.0,2635.9,2510.5,1779.2
2010-01-20,5221.7,1077.5,2657.7,2527.25,1756.1
2010-01-21,5094.15,1054.05,2625.2,2437.0,1711.65
2010-01-22,5036.0,1053.85,2575.6,2408.7,1677.1
2010-01-25,5007.9,1042.05,2542.3,2381.95,1656.7
2010-01-27,4853.1,1027.55,2502.25,2305.55,1597.2
2010-01-28,4867.25,1037.15,2491.75,2346.85,1593.25
2010-01-29,4882.05,1046.2,2475.5,2383.85,1631.05
2010-02-01,4899.7,1045.4,2451.25,2386.7,1599.75
2010-02-02,4830.1,1027.3,2439.95,2420.05,1579.1
2010-02-03,4931.85,1033.95,2473.2,2515.65,1622.75
2010-02-04,4845.35,1019.15,2429.05,2418.5,1616.75
2010-02-05,4718.65,981.7,2352.7,2389.8,1573.35
2010-02-06,4757.25,993.75,2379.45,2396.6,1575.8
2010-02-08,4760.4,994.35,2403.6,2393.5,1567.4
2010-02-09,4792.65,993.25,2473.8,2397.3,1571.65
2010-02-10,4757.2,985.1,2466.95,2380.35,1593.55
2010-02-11,4826.85,1015.15,2498.45,2382.5,1598.0
2010-02-15,4801.95,1010.0,2498.65,2390.9,1613.8
2010-02-16,4855.75,1017.75,2541.45,2428.2,1606.4
2010-02-17,4914.0,1032.55,2518.65,2463.95,1655.95
2010-02-18,4887.75,997.8,2533.65,2480.95,1683.75
2010-02-19,4844.9,983.2,2532.4,2480.0,1693.9
2010-02-22,4856.4,977.95,2568.35,2484.6,1696.6
2010-02-23,4870.05,975.35,2581.3,2518.7,1701.0
2010-02-24,4858.6,978.8,2576.3,2492.85,1700.5
2010-02-25,4859.75,963.1,2617.35,2462.5,1691.05
2010-02-26,4922.3,978.95,2601.95,2500.3,1704.8
2010-03-02,5017.0,983.2,2641.0,2560.3,1744.95
2010-03-03,5088.1,1024.8,2666.25,2604.65,1776.65
2010-03-04,5080.25,1014.0,2623.8,2596.2,1781.15
2010-03-05,5088.7,1009.8,2635.7,2588.35,1784.0
2010-03-08,5124.0,1004.1,2659.55,2611.25,1784.2
2010-03-09,5101.5,990.35,2683.95,2659.25,1811.2
2010-03-10,5116.25,1008.75,2659.25,2705.75,1814.45
2010-03-11,5133.4,1016.45,2682.95,2701.55,1826.95
2010-03-12,5137.0,1021.6,2673.25,2715.7,1801.25
2010-03-15,5128.9,1028.05,2701.25,2675.25,1812.55
2010-03-16,5198.1,1067.95,2732.35,2688.85,1804.6
2010-03-17,5231.9,1069.7,2738.3,2726.75,1807.7
2010-03-18,5245.9,1076.95,2787.6,2737.95,1800.9
2010-03-19,5262.8,1092.05,2772.35,2694.45,1819.85
2010-03-22,5205.2,1073.95,2757.4,2624.85,1837.1
2010-03-23,5225.3,1091.4,2775.5,2621.55,1884.0
2010-03-25,5260.4,1091.45,2813.95,2586.15,1926.15
2010-03-26,5282.0,1100.45,2774.85,2613.0,1951.45
2010-03-29,5302.85,1093.3,2716.65,2661.1,1965.05
2010-03-30,5262.45,1088.15,2644.1,2638.7,1906.85
2010-03-31,5249.1,1074.25,2615.95,2717.2,1933.5
2010-04-01,5290.5,1092.05,2670.45,2782.55,1939.25
2010-04-05,5368.4,1125.9,2677.95,2795.05,1948.5
2010-04-06,5366.0,1123.2,2651.25,2824.95,1932.9
2010-04-07,5374.65,1129.7,2643.75,2806.55,1931.75
2010-04-08,5304.45,1106.55,2663.75,2725.9,1902.8
2010-04-09,5361.75,1124.7,2676.2,2843.05,1949.35
2010-04-12,5339.7,1127.35,2683.1,2827.8,1954.2
2010-04-13,5322.95,1120.9,2781.9,2748.3,1951.7
2010-04-15,5273.6,1090.7,2801.6,2689.7,1957.05
2010-04-16,5262.6,1084.25,2788.6,2674.6,1964.25
2010-04-19,5203.65,1061.8,2751.9,2693.15,1934.1
2010-04-20,5230.1,1063.2,2727.3,2702.85,1944.55
2010-04-21,5244.9,1054.1,2712.45,2704.8,1941.0
2010-04-22,5269.35,1075.75,2718.4,2736.65,1934.15
2010-04-23,5304.1,1088.2,2726.95,2727.4,1951.8
2010-04-26,5322.45,1071.25,2738.95,2829.75,1989.6
2010-04-27,5308.35,1061.25,2737.45,2852.9,1979.55
2010-04-28,5215.45,1017.25,2699.5,2806.4,1968.15
2010-04-29,5254.15,1035.05,2709.15,2832.65,1985.75
2010-04-30,5278.0,1033.6,2738.15,2813.95,2000.45
2010-05-03,5222.75,1023.75,2694.9,2801.6,1969.8
2010-05-04,5148.5,1021.15,2666.15,2822.6,1937.0
2010-05-05,5124.9,1020.65,2693.0,2801.15,1916.35
2010-05-06,5090.85,1007.85,2658.15,2752.8,1895.5
2010-05-07,5018.05,1032.8,2616.85,2726.8,1848.05
2010-05-10,5193.6,1079.4,2675.7,2789.35,1934.2
2010-05-11,5136.15,1067.8,2660.75,2773.3,1948.3
2010-05-12,5156.65,1082.95,2681.7,2779.05,1974.9
2010-05-13,5178.9,1071.8,2706.15,2808.75,1965.35
2010-05-14,5093.5,1043.65,2651.9,2776.8,1951.75
2010-05-17,5059.9,1016.55,2616.35,2759.45,1928.85
2010-05-18,5066.2,1020.6,2629.2,2740.0,1895.8
2010-05-19,4919.65,998.65,2602.85,2673.7,1868.55
2010-05-20,4947.6,999.95,2600.75,2710.5,1850.95
2010-05-21,4931.15,995.55,2581.75,2710.2,1826.55
2010-05-24,4943.95,1022.65,2600.4,2664.1,1824.55
2010-05-25,4806.75,985.65,2533.4,2610.1,1803.75
2010-05-26,4917.4,1008.05,2621.05,2695.05,1827.75
2010-05-27,5003.1,1022.25,2643.35,2763.8,1896.6
2010-05-28,5066.55,1036.65,2677.45,2790.15,1896.8
2010-05-31,5086.3,1045.6,2658.0,2789.75,1888.45
2010-06-01,4970.2,1010.55,2624.35,2706.8,1855.1
2010-06-02,5019.85,1011.05,2640.25,2710.6,1853.05
2010-06-03,5110.5,1030.8,2698.0,2735.2,1905.6
2010-06-04,5135.5,1031.2,2728.95,2748.9,1885.7
2010-06-07,5034.0,1007.75,2671.65,2671.0,1876.65
2010-06-08,4987.1,996.4,2654.5,2702.2,1862.7
2010-06-09,5000.3,1007.05,2624.95,2705.15,1880.9
2010-06-10,5078.6,1015.35,2645.55,2749.9,1916.15
2010-06-11,5119.35,1046.4,2630.75,2808.9,1946.3
2010-06-14,5197.7,1063.5,2746.4,2837.4,1973.15
2010-06-15,5222.35,1066.1,2734.7,2859.05,1963.9
2010-06-16,5233.35,1057.95,2769.4,2912.9,1976.05
2010-06-17,5274.85,1071.4,2764.85,2932.75,1996.1
2010-06-18,5262.6,1054.35,2786.2,2930.45,1991.7
2010-06-21,5353.3,1065.65,2800.8,2985.45,1998.85
2010-06-22,5316.55,1063.8,2767.1,2979.25,1987.05
2010-06-23,5323.15,1058.7,2797.75,2993.65,1998.75
2010-06-24,5320.6,1052.05,2822.7,3022.3,2001.6
2010-06-25,5269.05,1062.95,2777.7,2935.4,1947.65
2010-06-28,5333.5,1090.15,2809.0,2958.75,1950.7
2010-06-29,5256.15,1067.45,2793.55,2902.65,1904.4
2010-06-30,5312.5,1089.85,2791.0,2944.2,1919.0
2010-07-01,5251.4,1076.25,2767.05,2915.4,1907.4
2010-07-02,5237.1,1068.95,2727.5,2916.25,1912.85
2010-07-05,5235.9,1068.3,2743.45,2939.35,1915.2
2010-07-06,5289.05,1073.9,2785.1,2945.0,1964.0
2010-07-07,5241.1,1053.55,2781.75,2905.05,1937.3
2010-07-08,5296.85,1057.1,2828.5,2941.7,1945.7
2010-07-09,5352.45,1057.65,2873.8,2966.4,2002.75
2010-07-12,5383.0,1056.25,2895.9,3003.35,2049.45
2010-07-13,5400.65,1074.3,2796.75,3064.3,2072.55
2010-07-14,5386.15,1070.45,2742.9,3076.85,2086.3
2010-07-15,5378.75,1073.45,2759.6,3044.65,2062.6
2010-07-16,5393.9,1062.95,2777.0,3019.85,2038.95
2010-07-19,5386.45,1056.05,2770.45,3059.55,2047.85
2010-07-20,5368.0,1052.95,2759.65,3013.6,2044.4
2010-07-21,5399.35,1058.4,2771.65,2970.4,2033.05
2010-07-22,5441.95,1059.0,2754.5,3017.7,2057.25
2010-07-23,5449.1,1060.45,2786.45,2993.45,2038.6
2010-07-26,5418.6,1053.1,2804.45,2958.55,2051.9
2010-07-27,5430.6,1053.5,2828.8,2939.0,2066.8
2010-07-28,5397.55,1021.25,2832.1,2895.55,2086.1
2010-07-29,5408.9,1010.15,2833.15,2976.9,2100.6
2010-07-30,5367.6,1009.65,2788.4,2980.25,2126.9
2010-08-02,5431.65,1014.55,2796.95,3024.05,2136.35
2010-08-03,5439.55,1027.75,2784.3,3051.5,2122.45
2010-08-04,5467.85,1016.05,2874.5,3060.0,2114.8
2010-08-05,5447.1,1007.05,2869.25,3028.8,2100.25
2010-08-06,5439.25,1000.1,2863.8,3069.2,2090.7
2010-08-09,5486.15,993.6,2874.65,3115.55,2082.0
2010-08-10,5460.7,987.9,2829.05,3073.2,2095.15
2010-08-11,5420.6,983.25,2810.9,2998.75,2089.5
2010-08-12,5416.45,972.6,2772.7,2985.6,2073.15
2010-08-13,5452.1,979.1,2777.25,2995.9,2087.55
2010-08-16,5418.3,976.9,2761.9,2973.9,2084.0
2010-08-17,5414.15,970.65,2750.5,3008.95,2121.05
2010-08-18,5479.15,964.6,2807.25,621.2,2191.95
2010-08-19,5540.2,977.2,2804.6,645.05,2230.15
2010-08-20,5530.65,988.65,2769.6,639.95,2231.3
2010-08-23,5543.5,976.9,2803.15,629.6,2196.6
2010-08-24,5505.1,972.4,2765.25,624.25,2208.65
2010-08-25,5462.35,967.8,2770.9,620.05,2192.25
2010-08-26,5477.9,956.45,2765.65,628.45,2178.35
2010-08-27,5408.7,949.6,2709.9,623.15,2139.15
2010-08-30,5415.45,947.95,2700.45,627.85,2131.7
2010-08-31,5402.4,919.2,2713.85,627.0,2134.25
2010-09-01,5471.85,936.2,2776.15,623.1,2149.25
2010-09-02,5486.15,937.45,2753.0,632.55,2187.45
