Date,RELIANCE,HDFC,HDFCBANK,INFY,ICICIBANK,NIFTY 50
2018-01-01,909.75,1683.75,1854.5,1033.55,310.3,10435.55
2018-01-02,911.15,1703.25,1872.35,1029.7,309.7,10442.2
2018-01-03,914.8,1700.8,1852.65,1021.3,315.0,10443.2
2018-01-04,920.3,1703.2,1859.9,1015.4,314.7,10504.8
2018-01-05,923.25,1725.2,1863.6,1012.0,312.9,10558.85
2018-01-08,928.55,1740.95,1860.6,1036.05,314.15,10623.6
2018-01-09,940.95,1735.05,1863.7,1041.35,312.6,10637.0
2018-01-10,942.35,1726.45,1864.2,1052.25,312.0,10632.2
2018-01-11,937.75,1741.35,1872.55,1075.8,309.5,10651.2
2018-01-12,949.0,1760.95,1865.3,1078.45,317.7,10681.25
2018-01-15,949.15,1871.2,1897.75,1081.15,329.3,10741.55
2018-01-16,922.95,1845.95,1900.15,1122.85,334.1,10700.45
2018-01-17,924.5,1858.35,1890.5,1152.1,343.25,10788.55
2018-01-18,919.7,1896.8,1934.3,1152.7,346.15,10817.0
2018-01-19,931.3,1901.25,1952.2,1143.45,353.6,10894.7
2018-01-22,971.5,1872.0,1963.35,1150.0,351.5,10966.2
2018-01-23,983.25,1884.65,1951.3,1177.1,362.3,11083.7
2018-01-24,966.35,1911.2,1957.65,1185.8,352.75,11086.0
2018-01-25,965.9,1908.3,1974.95,1175.4,360.8,11069.65
2018-01-29,964.5,1967.6,1999.65,1182.9,357.65,11130.4
2018-01-30,950.4,1937.5,1995.5,1170.65,353.25,11049.65
2018-01-31,961.3,1956.3,2005.7,1150.25,352.95,11027.7
2018-02-01,943.85,1967.55,1991.15,1144.6,346.2,11016.9
2018-02-02,904.35,1903.85,1948.0,1143.25,335.1,10760.6
2018-02-05,902.15,1823.35,1913.85,1138.2,329.7,10666.55
2018-02-06,892.1,1788.6,1896.8,1107.75,330.7,10498.25
2018-02-07,894.4,1785.35,1872.8,1109.05,332.55,10476.7
2018-02-08,904.55,1811.8,1880.95,1134.25,333.85,10576.85
2018-02-09,897.85,1773.05,1849.5,1109.15,326.75,10454.95
2018-02-12,915.5,1805.45,1876.65,1102.8,326.25,10539.75
2018-02-14,933.65,1814.0,1883.15,1097.75,318.95,10500.9
2018-02-15,935.65,1829.5,1881.9,1114.45,328.65,10545.5
2018-02-16,921.3,1815.5,1878.6,1128.05,321.05,10452.3
2018-02-19,927.0,1814.05,1878.2,1131.75,319.75,10378.4
2018-02-20,921.1,1811.75,1863.2,1136.95,317.25,10360.4
2018-02-21,929.35,1824.8,1857.4,1147.4,319.2,10397.45
2018-02-22,924.35,1819.25,1853.2,1160.75,318.35,10382.7
2018-02-23,934.25,1824.2,1880.55,1155.65,322.75,10491.05
2018-02-26,938.7,1843.25,1911.55,1138.6,327.05,10582.6
